Player Name;Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Tkl;Int;Blocks;xG;npxG;xAG;SCA;GCA;Cmp;Att;Cmp%;PrgP;Carries;PrgC;Att;Succ;Match Report
Virgil van Dijk;2023-08-13;Sun;Matchweek 1;Away;D 1–1;Liverpool;Chelsea;Y*;CB;90;0;0;0;0;1;0;0;0;49;1;3;1;0.0;0.0;0.0;2;0;26;33;78.8;1;17;0;0;0;Match Report
Virgil van Dijk;2023-08-19;Sat;Matchweek 2;Home;W 3–1;Liverpool;Bournemouth;Y*;CB;90;0;0;0;0;3;1;0;0;75;0;5;1;0.2;0.2;0.1;1;0;60;62;96.8;1;33;0;0;0;Match Report
Virgil van Dijk;2023-08-27;Sun;Matchweek 3;Away;W 2–1;Liverpool;Newcastle Utd;Y*;CB;27;0;0;0;0;0;0;0;1;22;0;0;0;0.0;0.0;0.0;0;0;18;21;85.7;0;15;0;0;0;Match Report
Virgil van Dijk;2023-09-24;Sun;Matchweek 6;Home;W 3–1;Liverpool;West Ham;Y*;CB;90;0;1;0;0;3;0;0;0;100;2;3;2;0.3;0.3;0.6;4;0;78;84;92.9;7;66;2;0;0;Match Report
Virgil van Dijk;2023-09-30;Sat;Matchweek 7;Away;L 1–2;Liverpool;Tottenham;Y*;CB;90;0;1;0;0;1;0;1;0;65;2;2;7;0.0;0.0;0.3;2;1;40;42;95.2;0;38;0;0;0;Match Report
Virgil van Dijk;2023-10-08;Sun;Matchweek 8;Away;D 2–2;Liverpool;Brighton;Y*;CB;90;0;0;0;0;0;0;0;0;85;1;0;2;0.0;0.0;0.0;0;0;68;73;93.2;4;50;0;0;0;Match Report
Virgil van Dijk;2023-10-21;Sat;Matchweek 9;Home;W 2–0;Liverpool;Everton;Y*;CB;90;0;0;0;0;0;0;0;0;116;2;0;0;0.0;0.0;0.0;2;0;97;108;89.8;10;56;0;0;0;Match Report
Virgil van Dijk;2023-10-29;Sun;Matchweek 10;Home;W 3–0;Liverpool;Nott'ham Forest;Y*;CB;90;0;0;0;0;0;0;0;0;122;1;1;2;0.0;0.0;0.0;4;0;105;113;92.9;12;73;1;0;0;Match Report
Virgil van Dijk;2023-11-05;Sun;Matchweek 11;Away;D 1–1;Liverpool;Luton Town;Y*;CB;90;0;0;0;0;1;0;0;0;127;1;0;0;0.1;0.1;0.0;2;0;108;117;92.3;11;91;0;0;0;Match Report
Virgil van Dijk;2023-11-12;Sun;Matchweek 12;Home;W 3–0;Liverpool;Brentford;Y*;CB;90;0;0;0;0;1;1;0;0;73;3;0;2;0.1;0.1;0.0;2;0;55;62;88.7;2;31;1;0;0;Match Report
Virgil van Dijk;2023-11-25;Sat;Matchweek 13;Away;D 1–1;Liverpool;Manchester City;Y*;CB;90;0;0;0;0;1;1;0;0;69;0;0;1;0.1;0.1;0.0;0;0;58;64;90.6;3;50;1;0;0;Match Report
Virgil van Dijk;2023-12-03;Sun;Matchweek 14;Home;W 4–3;Liverpool;Fulham;Y*;CB;90;0;0;0;0;2;0;0;0;121;2;4;1;0.2;0.2;0.0;2;0;90;108;83.3;5;81;1;0;0;Match Report
Virgil van Dijk;2023-12-06;Wed;Matchweek 15;Away;W 2–0;Liverpool;Sheffield Utd;Y*;CB;90;1;0;0;0;3;2;0;0;98;2;2;1;0.2;0.2;0.0;0;0;83;89;93.3;4;72;3;0;0;Match Report
Virgil van Dijk;2023-12-09;Sat;Matchweek 16;Away;W 2–1;Liverpool;Crystal Palace;Y*;CB;90;0;0;0;0;1;0;0;0;115;2;1;0;0.1;0.1;0.0;0;0;92;104;88.5;6;73;1;0;0;Match Report
Virgil van Dijk;2023-12-17;Sun;Matchweek 17;Home;D 0–0;Liverpool;Manchester Utd;Y*;CB;90;0;0;0;0;3;2;0;0;98;3;2;0;0.1;0.1;0.1;3;0;73;87;83.9;9;61;3;0;0;Match Report
Virgil van Dijk;2023-12-23;Sat;Matchweek 18;Home;D 1–1;Liverpool;Arsenal;Y*;CB;90;0;0;0;0;0;0;0;0;87;3;0;2;0.0;0.0;0.0;1;0;72;80;90.0;5;46;1;0;0;Match Report
Virgil van Dijk;2023-12-26;Tue;Matchweek 19;Away;W 2–0;Liverpool;Burnley;Y*;CB;90;0;0;0;0;1;0;0;0;112;0;1;0;0.1;0.1;0.0;2;0;97;104;93.3;5;69;2;1;1;Match Report
Virgil van Dijk;2024-01-01;Mon;Matchweek 20;Home;W 4–2;Liverpool;Newcastle Utd;Y*;CB;90;0;0;0;0;1;0;0;0;71;1;0;2;0.1;0.1;0.0;2;0;60;64;93.8;9;44;1;1;0;Match Report
